Width/Height;1;8;32;64;256;1024;4096
1;180,9;187,15;184,72;184,67;181,93;185,05;184,57
8;185,48;185,98;180,63;185,47;180,31;184,04;184,68
32;185,19;180,45;186,11;184,33;183,61;184,07;182,49
64;181,51;187,89;182,77;184,22;184,75;183,44;178,76
256;180,04;184,21;184,29;184,1;185,01;185,05;184,6
1024;181,7;180,7;184,8;184,88;184,74;184,52;181,14
4096;185,81;184,95;181,63;186,63;185,1;185,1;186,04
